column,low_level_descriptor,value_or_delta,window_statistic,song_aggregation,description
song_id,,,,,DEAM song identifier
valence_mean,,,,,mean valence rating (1-9)
valence_std,,,,,std of valence ratings across annotators
arousal_mean,,,,,mean arousal rating (1-9)
arousal_std,,,,,std of arousal ratings across annotators
F0final_sma_stddev__mean_over_time,F0final,value,std,mean,
F0final_sma_amean__mean_over_time,F0final,value,mean,mean,
voicingFinalUnclipped_sma_stddev__mean_over_time,voicingFinalUnclipped,value,std,mean,
voicingFinalUnclipped_sma_amean__mean_over_time,voicingFinalUnclipped,value,mean,mean,
jitterLocal_sma_stddev__mean_over_time,jitterLocal,value,std,mean,
jitterLocal_sma_amean__mean_over_time,jitterLocal,value,mean,mean,
jitterDDP_sma_stddev__mean_over_time,jitterDDP,value,std,mean,
jitterDDP_sma_amean__mean_over_time,jitterDDP,value,mean,mean,
shimmerLocal_sma_stddev__mean_over_time,shimmerLocal,value,std,mean,
shimmerLocal_sma_amean__mean_over_time,shimmerLocal,value,mean,mean,
logHNR_sma_stddev__mean_over_time,logHNR,value,std,mean,
logHNR_sma_amean__mean_over_time,logHNR,value,mean,mean,
audspec_lengthL1norm_sma_stddev__mean_over_time,audspec_lengthL1norm,value,std,mean,
audspec_lengthL1norm_sma_amean__mean_over_time,audspec_lengthL1norm,value,mean,mean,
audspecRasta_lengthL1norm_sma_stddev__mean_over_time,audspecRasta_lengthL1norm,value,std,mean,
audspecRasta_lengthL1norm_sma_amean__mean_over_time,audspecRasta_lengthL1norm,value,mean,mean,
pcm_RMSenergy_sma_stddev__mean_over_time,pcm_RMSenergy,value,std,mean,
pcm_RMSenergy_sma_amean__mean_over_time,pcm_RMSenergy,value,mean,mean,
pcm_zcr_sma_stddev__mean_over_time,pcm_zcr,value,std,mean,
pcm_zcr_sma_amean__mean_over_time,pcm_zcr,value,mean,mean,
audSpec_Rfilt_sma[0]_stddev__mean_over_time,audSpec_Rfilt[0],value,std,mean,
audSpec_Rfilt_sma[0]_amean__mean_over_time,audSpec_Rfilt[0],value,mean,mean,
audSpec_Rfilt_sma[1]_stddev__mean_over_time,audSpec_Rfilt[1],value,std,mean,
audSpec_Rfilt_sma[1]_amean__mean_over_time,audSpec_Rfilt[1],value,mean,mean,
audSpec_Rfilt_sma[2]_stddev__mean_over_time,audSpec_Rfilt[2],value,std,mean,
audSpec_Rfilt_sma[2]_amean__mean_over_time,audSpec_Rfilt[2],value,mean,mean,
audSpec_Rfilt_sma[3]_stddev__mean_over_time,audSpec_Rfilt[3],value,std,mean,
audSpec_Rfilt_sma[3]_amean__mean_over_time,audSpec_Rfilt[3],value,mean,mean,
audSpec_Rfilt_sma[4]_stddev__mean_over_time,audSpec_Rfilt[4],value,std,mean,
audSpec_Rfilt_sma[4]_amean__mean_over_time,audSpec_Rfilt[4],value,mean,mean,
audSpec_Rfilt_sma[5]_stddev__mean_over_time,audSpec_Rfilt[5],value,std,mean,
audSpec_Rfilt_sma[5]_amean__mean_over_time,audSpec_Rfilt[5],value,mean,mean,
audSpec_Rfilt_sma[6]_stddev__mean_over_time,audSpec_Rfilt[6],value,std,mean,
audSpec_Rfilt_sma[6]_amean__mean_over_time,audSpec_Rfilt[6],value,mean,mean,
audSpec_Rfilt_sma[7]_stddev__mean_over_time,audSpec_Rfilt[7],value,std,mean,
audSpec_Rfilt_sma[7]_amean__mean_over_time,audSpec_Rfilt[7],value,mean,mean,
audSpec_Rfilt_sma[8]_stddev__mean_over_time,audSpec_Rfilt[8],value,std,mean,
audSpec_Rfilt_sma[8]_amean__mean_over_time,audSpec_Rfilt[8],value,mean,mean,
audSpec_Rfilt_sma[9]_stddev__mean_over_time,audSpec_Rfilt[9],value,std,mean,
audSpec_Rfilt_sma[9]_amean__mean_over_time,audSpec_Rfilt[9],value,mean,mean,
audSpec_Rfilt_sma[10]_stddev__mean_over_time,audSpec_Rfilt[10],value,std,mean,
audSpec_Rfilt_sma[10]_amean__mean_over_time,audSpec_Rfilt[10],value,mean,mean,
audSpec_Rfilt_sma[11]_stddev__mean_over_time,audSpec_Rfilt[11],value,std,mean,
audSpec_Rfilt_sma[11]_amean__mean_over_time,audSpec_Rfilt[11],value,mean,mean,
audSpec_Rfilt_sma[12]_stddev__mean_over_time,audSpec_Rfilt[12],value,std,mean,
audSpec_Rfilt_sma[12]_amean__mean_over_time,audSpec_Rfilt[12],value,mean,mean,
audSpec_Rfilt_sma[13]_stddev__mean_over_time,audSpec_Rfilt[13],value,std,mean,
audSpec_Rfilt_sma[13]_amean__mean_over_time,audSpec_Rfilt[13],value,mean,mean,
audSpec_Rfilt_sma[14]_stddev__mean_over_time,audSpec_Rfilt[14],value,std,mean,
audSpec_Rfilt_sma[14]_amean__mean_over_time,audSpec_Rfilt[14],value,mean,mean,
audSpec_Rfilt_sma[15]_stddev__mean_over_time,audSpec_Rfilt[15],value,std,mean,
audSpec_Rfilt_sma[15]_amean__mean_over_time,audSpec_Rfilt[15],value,mean,mean,
audSpec_Rfilt_sma[16]_stddev__mean_over_time,audSpec_Rfilt[16],value,std,mean,
audSpec_Rfilt_sma[16]_amean__mean_over_time,audSpec_Rfilt[16],value,mean,mean,
audSpec_Rfilt_sma[17]_stddev__mean_over_time,audSpec_Rfilt[17],value,std,mean,
audSpec_Rfilt_sma[17]_amean__mean_over_time,audSpec_Rfilt[17],value,mean,mean,
audSpec_Rfilt_sma[18]_stddev__mean_over_time,audSpec_Rfilt[18],value,std,mean,
audSpec_Rfilt_sma[18]_amean__mean_over_time,audSpec_Rfilt[18],value,mean,mean,
audSpec_Rfilt_sma[19]_stddev__mean_over_time,audSpec_Rfilt[19],value,std,mean,
audSpec_Rfilt_sma[19]_amean__mean_over_time,audSpec_Rfilt[19],value,mean,mean,
audSpec_Rfilt_sma[20]_stddev__mean_over_time,audSpec_Rfilt[20],value,std,mean,
audSpec_Rfilt_sma[20]_amean__mean_over_time,audSpec_Rfilt[20],value,mean,mean,
audSpec_Rfilt_sma[21]_stddev__mean_over_time,audSpec_Rfilt[21],value,std,mean,
audSpec_Rfilt_sma[21]_amean__mean_over_time,audSpec_Rfilt[21],value,mean,mean,
audSpec_Rfilt_sma[22]_stddev__mean_over_time,audSpec_Rfilt[22],value,std,mean,
audSpec_Rfilt_sma[22]_amean__mean_over_time,audSpec_Rfilt[22],value,mean,mean,
audSpec_Rfilt_sma[23]_stddev__mean_over_time,audSpec_Rfilt[23],value,std,mean,
audSpec_Rfilt_sma[23]_amean__mean_over_time,audSpec_Rfilt[23],value,mean,mean,
audSpec_Rfilt_sma[24]_stddev__mean_over_time,audSpec_Rfilt[24],value,std,mean,
audSpec_Rfilt_sma[24]_amean__mean_over_time,audSpec_Rfilt[24],value,mean,mean,
audSpec_Rfilt_sma[25]_stddev__mean_over_time,audSpec_Rfilt[25],value,std,mean,
audSpec_Rfilt_sma[25]_amean__mean_over_time,audSpec_Rfilt[25],value,mean,mean,
pcm_fftMag_fband250-650_sma_stddev__mean_over_time,pcm_fftMag_fband250-650,value,std,mean,
pcm_fftMag_fband250-650_sma_amean__mean_over_time,pcm_fftMag_fband250-650,value,mean,mean,
pcm_fftMag_fband1000-4000_sma_stddev__mean_over_time,pcm_fftMag_fband1000-4000,value,std,mean,
pcm_fftMag_fband1000-4000_sma_amean__mean_over_time,pcm_fftMag_fband1000-4000,value,mean,mean,
